Id,story,sentence,type
txt_009,അമ്മ എപ്പോൾ തിരികെ വരും?,മുത്തശ്ശാ നമുക്ക് ഉരുളക്കിഴങ്ങ് വാങ്ങിയാലോ,1
txt_020,അമ്മ എപ്പോൾ തിരികെ വരും?,ഇപ്പോൾ ഇതാ അമ്മ വന്നു,0
txt_016,അമ്മ എപ്പോൾ തിരികെ വരും?,അച്ഛാ ഒറ്റ പ്രാവശ്യം കൂടി,0
txt_017,അമ്മ എപ്പോൾ തിരികെ വരും?,റോജേ റോജേ,0
txt_013,അമ്മ എപ്പോൾ തിരികെ വരും?,റോജയുടെ ചേച്ചി സ്ക്കൂളിൽ നിന്നും തിരികെയെത്തി,0
txt_004,അമ്മ എപ്പോൾ തിരികെ വരും?,റോജ ചോദിച്ചു,0
txt_010,അമ്മ എപ്പോൾ തിരികെ വരും?,ഇന്നലേയും നമ്മൾ ഉരുളക്കിഴങ്ങല്ലേ വാങ്ങിയത്,0
txt_027,അമ്മ എപ്പോൾ തിരികെ വരും?,ഇന്നലെ മൂന്ന് മണിയ്ക്ക് നിങ്ങൾ എന്താണ് ചെയ്തത്,1
txt_024,അമ്മ എപ്പോൾ തിരികെ വരും?,റോജ പത്തുമണിയ്ക്ക് കടയിൽ സാധനങ്ങൾ വാങ്ങാൻ പോയി,0
txt_022,അമ്മ എപ്പോൾ തിരികെ വരും?,റോജ എട്ടുമണിയ്ക്ക് പ്രഭാത ഭക്ഷണം കഴിച്ചു,0
txt_005,അമ്മ എപ്പോൾ തിരികെ വരും?,കൃത്യം ഒമ്പത് മണിയ്ക്ക്,0
txt_003,അമ്മ എപ്പോൾ തിരികെ വരും?,എത്ര മണിയ്ക്ക്,1
txt_002,അമ്മ എപ്പോൾ തിരികെ വരും?,അമ്മ പറഞ്ഞു,0
txt_028,അമ്മ എപ്പോൾ തിരികെ വരും?,ഇന്നലെ അഞ്ചുമണിയ്ക്ക് നിങ്ങൾ എന്താണ് ചെയ്തുകൊണ്ടിരുന്നത്,1
txt_026,അമ്മ എപ്പോൾ തിരികെ വരും?,നിങ്ങൾ ഇന്നലെ എന്താണ് ഒരു മണിയ്ക്ക് ചെയ്തത്,1
txt_001,അമ്മ എപ്പോൾ തിരികെ വരും?,അമ്മ എപ്പോൾ തിരികെ വരും,1
txt_021,അമ്മ എപ്പോൾ തിരികെ വരും?,ഇതേ സമയത്ത് നിങ്ങൾ എന്തെല്ലാമാണ് ചെയ്തുകൊണ്ടിരുന്നത്,1
txt_023,അമ്മ എപ്പോൾ തിരികെ വരും?,നിങ്ങൾ എട്ടുമണിയ്ക്ക് എന്താണ് ചെയ്തുകൊണ്ടിരുന്നത്,1
txt_008,അമ്മ എപ്പോൾ തിരികെ വരും?,അമ്മ എനിക്ക് പാല് തന്നാൽ മതി അച്ഛൻ തരണ്ട,0
txt_015,അമ്മ എപ്പോൾ തിരികെ വരും?,വീട്ടിൽ പോകാൻ,1
txt_014,അമ്മ എപ്പോൾ തിരികെ വരും?,നല്ല രസമായിരിക്കുമല്ലേ ചേച്ചി,1
txt_011,അമ്മ എപ്പോൾ തിരികെ വരും?,ഇന്ന് നമുക്ക് വഴുതിനങ്ങ വാങ്ങിയാലോ,1
txt_025,അമ്മ എപ്പോൾ തിരികെ വരും?,ഇന്നലെ പത്തുമണിയ്ക്ക് നിങ്ങൾ എന്താണ് ചെയ്തത്,1
txt_097,എനിക്ക് അത് വേണം!,അമ്മേഎനിക്ക് ദേഷ്യം തോന്നുന്നുണ്ട് കെട്ടോ,0
txt_087,എനിക്ക് അത് വേണം!,അതെടുത്താല് പഴങ്ങള് മുഴുവൻ മറിഞ്ഞുവീഴും,0
txt_084,എനിക്ക് അത് വേണം!,നീ ചന്തയിലേക്ക് വരുന്നോ,1
txt_090,എനിക്ക് അത് വേണം!,ഇതെനിക്ക് എടുക്കാലോ,1
txt_085,എനിക്ക് അത് വേണം!,ചന്തയിലേക്കോ,1
txt_088,എനിക്ക് അത് വേണം!,ഈ പുസ്തകം ഞാൻ എടുത്തോട്ടെ,1
txt_095,എനിക്ക് അത് വേണം!,കറുത്തതിനെയോ,1
txt_079,എനിക്ക് അത് വേണം!,എനിക്ക് അത് വേണം,0
txt_096,എനിക്ക് അത് വേണം!,നമുക്ക് ഈ ബ്രൗണ് നിറമുള്ളതിനെ എടുത്താല് മതി,0
txt_098,എനിക്ക് അത് വേണം!,അടിയിലുള്ള പട്ടിക്കുട്ടിയെ എടുത്തിരുന്നെങ്കില് മുകളിലുള്ളവയെല്ലാം മറിഞ്ഞുവീഴില്ലേ,1
txt_094,എനിക്ക് അത് വേണം!,അമ്മേ നമ്മൾ എപ്പോൾ തിരിച്ചു പോകും,1
txt_081,എനിക്ക് അത് വേണം!,പിന്നീടാവാം,0
txt_091,എനിക്ക് അത് വേണം!,ഇതിൽ എത്ര സമൂസ ഉണ്ട്,1
txt_083,എനിക്ക് അത് വേണം!,അതെടുത്താല് അതിന്റെ മുകളിലുള്ള പെട്ടികള് മുഴുവന് നിന്റെ തലയിലേക്ക് മറിഞ്ഞുവീഴും,0
txt_080,എനിക്ക് അത് വേണം!,അമ്മേആ നീല പെട്ടിക്കുള്ളില് എന്താണെന്ന് എനിക്ക് കാണണം,0
txt_092,എനിക്ക് അത് വേണം!,അതില് തൊടരുത്,0
txt_116,കാക്കച്ചിയും കൂട്ടുകാരും,എന്നെക്കൊണ്ട് അതിന് സാധിക്കുമോ,1
txt_115,കാക്കച്ചിയും കൂട്ടുകാരും,പക്ഷേ അവന് എന്നെക്കാൾ ശക്തനല്ലേ,1
txt_104,കാക്കച്ചിയും കൂട്ടുകാരും,മുത്തശ്ശിമാവില് എല്ലാവരും കൂട് വെച്ചു,0
txt_110,കാക്കച്ചിയും കൂട്ടുകാരും,പാമ്പേ നീയൊരു സഹായം ചെയ്യാമോ,1
txt_108,കാക്കച്ചിയും കൂട്ടുകാരും,ആരാ ഇനി നമ്മളെ സഹായിക്കുക,1
txt_109,കാക്കച്ചിയും കൂട്ടുകാരും,ഓരോരുത്തരും ചോദിക്കുവാൻ തുടങ്ങി,0
txt_119,കാക്കച്ചിയും കൂട്ടുകാരും,പറഞ്ഞത് പോലെ പാമ്പ് അവനെ പേടിപ്പിച്ചു,0
txt_121,കാക്കച്ചിയും കൂട്ടുകാരും,ഞാന് ഈ സ്ഥലം വിടുന്നേ,0
txt_120,കാക്കച്ചിയും കൂട്ടുകാരും,അയ്യോ ഒരു പാമ്പ് എന്നെ കടിക്കാൻ വരുന്നേ,0
txt_113,കാക്കച്ചിയും കൂട്ടുകാരും,അത് കൊണ്ടു ഞാന് എന്താണ് ചെയ്യേണ്ടത്,1
txt_118,കാക്കച്ചിയും കൂട്ടുകാരും,കാക്കച്ചി ധൈര്യം നൽകി,0
txt_103,കാക്കച്ചിയും കൂട്ടുകാരും,എല്ലാവരെയും,1
txt_102,കാക്കച്ചിയും കൂട്ടുകാരും,എന്നാല് ഞാന് എല്ലാവരെയും വിളിച്ചോട്ടേ,1
txt_100,കാക്കച്ചിയും കൂട്ടുകാരും,കാറ്റും മഴയും അവരുടെ കൂട് നശിപ്പിച്ചു,0
txt_101,കാക്കച്ചിയും കൂട്ടുകാരും,ഞങ്ങള് ഇവിടെ കൂട് വച്ചോട്ടെ,1
txt_114,കാക്കച്ചിയും കൂട്ടുകാരും,നാളെ മരം വെട്ടുകാരന് വരുമ്പോള് നീ അവനെ പേടിപ്പിക്കാമോ,1
txt_112,കാക്കച്ചിയും കൂട്ടുകാരും,പാമ്പ് ചോദിച്ചു,0
txt_099,കാക്കച്ചിയും കൂട്ടുകാരും,കര്ക്കിടക മാസം വന്നു,0
txt_140,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,ഉടനെ അവിടെ വാലാട്ടിക്കിളിയച്ഛൻ എത്തി,0
